@timestamp,@version,__typename,_id,_index,_score,_type,accessibility_caption,comments_disabled,created_at,did_report_as_spam,dimensions.height,dimensions.width,display_url,edge_liked_by.count,edge_media_preview_like.count,edge_media_to_comment.count,fact_check_information,fact_check_overall_rating,gating_info,id,insta_description,is_restricted_pending,is_video,location,location.has_public_page,location.id,location.name,location.slug,media_preview,owner.id,owner.username,shortcode,taken_at_timestamp,text,thumbnail_src,viewer_has_liked
"Mar 17, 2020 @ 14:32:58.612",1,GraphSidecar,Libp6HABCuLPJKLpdGBa,insta_data-2020.02.26-000001,,_doc,"Photo by Туры по всему миру on July 24, 2019. Image may contain: text",false,0,false,705,"1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/66482176_2140073796297146_6953543176298860448_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2kA7jjJFz68AX8XDx0B&oh=e8d00168559b16eafe925c0c022e8dd2&oe=5EA17427,20,20,0,,,,2095612648373354942,"Супер предложение от отеля 🏨 Al Khoory Executive Hotel 3* (Дубаи)🔥. Прямой перелёт из Алматы а/к Air Astana. Насладитесь отдыхом на роскошных пляжах Персидского залива со скидками! 🏝🛩⛵💕🤗. ⠀
Даты: с 26.07.19 по 01.08.19 (6 ночей).
Стоимость на человека при размещении в двухместном номере = 125 000 тенге.
⠀
🏨 Отель AL KHOORY EXECUTIVE HOTEL 3* - расположен в центре города Дубаи на улице Аль-Васл-роуд, всего в десяти минутах езды от небоскреба Бурдж Халифа и торгового центра Dubai. В нескольких минутах езды находятся дубайский зоопарк и водный парк развлечений Wild Wadi. Отель подойдет для пляжного и экскурсионного отдыха. Великолепный пляж Lа Mer находится в 7-10 минутах ходьбы от отеля.

В стоимость включено:
- 🛩Прямой авиаперелет из Алматы а/к Air Astana;
- 🏨 Проживание в отеле 6 ночей;
- ☕  Завтраки;
- 🚌 Трансфер (аэропорт-отель-аэропорт);
- 🆘 Медицинская страховка.
⠀
🇵🇼 Для граждан Казахстана виза открывается по прилету в ОАЭ (бесплатно).
⠀
Объединенные Арабские Эмираты - это не просто одно из самых богатых государств мира, но еще и великолепный выбор для отпуска.🤗🌞💕 ____________________________________
✅📞 +7 (727) 266 94 08; 250 93 26
✅Наш адрес: г. Алматы, ул. Гоголя 84а, офис 216 (между ул. Желтоксан и Наурызбай батыра).
🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩🛩
#nicetravelkz #горящиетуры #путешествие #чудоприроды #хочутуда #необыкновеннаякрасота #отдых #лучшийтуроператор #мечтысбываются #летимвотпуск #отпуск #турыизалматы #гдеотдохнуть #отдыхсдетьми #праздник #оаэ",false,false,"{""slug"":""nicetravelkz"",""id"":""1482672511761772"",""has_public_page"":true,""name"":""NiceTravel.kz""}",True,1482672511761772,NiceTravel.kz,nicetravelkz,,2257762377,nicetravel.kz,B0VHJnFHAG-,"1,564,036,516",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c187.0.705.705a/s640x640/66482176_2140073796297146_6953543176298860448_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=2kA7jjJFz68AX8XDx0B&oh=18a393b1019d1d1a3a967e2c1444cef9&oe=5EA4EAAD,false
"Mar 17, 2020 @ 14:32:58.085",1,GraphSidecar,LSbp6HABCuLPJKLpcmBK,insta_data-2020.02.26-000001,,_doc,"Photo by Еленка Година on July 24, 2019. Image may contain: one or more people and outdoor",false,0,false,"1,080","1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/67733173_144545270072812_377012946832150734_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=lS_RxoSw578AX_NZud7&oh=191f5c2183eb86c77d85fae29529d4af&oe=5EA44D4C,35,35,0,,,,2095613332246699371,"Веревочный парк в Эко-парке Лукоморье состоит из трёх уровней. Нижний для деток 3-5 лет, что очень порадовало нашего Арсения)) он сам справился с испытанием и был ооочень доволен собой 😁😊 #лукоморьесевастополь #годинынаотдыхе #годины #отдыхсдетьми #севастополь2019 #веревочныйпарк",false,false,"{""slug"":"""",""id"":""249174568"",""has_public_page"":true,""name"":""Парк Лукоморье, Севастополь""}",True,249174568,"Парк Лукоморье, Севастополь",,,7566131782,elena.godina.squirrel,B0VHTj_Ix1r,"1,564,036,598",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/67733173_144545270072812_377012946832150734_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=lS_RxoSw578AX_NZud7&oh=bd0a3c98bea695b4ace730ba7d4a7404&oe=5EA3383F,false
"Mar 17, 2020 @ 14:32:56.947",1,GraphImage,Kybp6HABCuLPJKLpbWDY,insta_data-2020.02.26-000001,,_doc,"Photo by Гостевой дом ""Звезда Азова"" in Пересыпь Краснодарский Край. Image may contain: text",false,0,false,"1,262","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/67663624_474582596668035_7466630575427102970_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=qLaQDeCYcaAAX9qE1m9&oh=d508f9260d2b3fd60e8eb3f65a7a4d9c&oe=5EA24C16,26,26,2,,,,2095614127879397576,#скидки#акция #море #азовскоеморе #виднаморе #гостиницанаморе #пляж #гостевойдом #гостиница #бронировать #отдых2019 #бронируемотдых #скоролето #отдыхсдетьми #жильеуморя #звездаазова #тамань #подорогевкрым #лето #отдых  #звездаазова #тамань #sea #beach #travel #hotel #russia #taman #onthebeach #nearthesea,false,false,"{""slug"":"""",""id"":""648372479"",""has_public_page"":true,""name"":""Пересыпь Краснодарский Край""}",True,648372479,Пересыпь Краснодарский Край,,,5410427174,azovstar,B0VHfI-iqDI,"1,564,036,693",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.91.1080.1080a/s640x640/67663624_474582596668035_7466630575427102970_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=qLaQDeCYcaAAX9qE1m9&oh=c35f2d42439e9fdf681b4bdcb95ef0bf&oe=5EA109E6,false
"Mar 17, 2020 @ 14:32:55.122",1,GraphSidecar,ESbp6HABCuLPJKLpZmC4,insta_data-2020.02.26-000001,,_doc,"Photo by ВСЕ ДЛЯ РЫБАЛКИ 40 лет ПОБЕДЫ on July 24, 2019. Image may contain: one or more people, people standing, child, hat and outdoor",false,0,false,640,640,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66156282_718419528660240_5393532873374339889_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GT--bVC54WgAX_69OUv&oh=9e8a44dba9662d87b765fe9f5dd16880&oe=5EA33147,72,72,3,,,,2095616414832215238,"#Ребёнок на рыбалке способен самостоятельно найти себе массу развлечений: солнечные лучики в воде, разноцветные камушки, маленькие рыбки у берега, летающие жуки и стрекозы. Но полный восторг - #рыба в банке, которую вы поймали вместе с ним.
#рыбалка23 #rybalka_23_krd #отдыхсдетьми #счастье #снамиловят #краснодар #крд #tipich_krd #югроссии",false,false,"{""slug"":""krasnodar-krai"",""id"":""894812510"",""has_public_page"":true,""name"":""Krasnodar Krai""}",True,894812510,Krasnodar Krai,krasnodar-krai,,12785045727,rybalka_23_krd,B0VIAa3jUTG,"1,564,036,965",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/66156282_718419528660240_5393532873374339889_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=100&_nc_ohc=GT--bVC54WgAX_69OUv&oh=9e8a44dba9662d87b765fe9f5dd16880&oe=5EA33147,false
"Mar 17, 2020 @ 14:32:53.733",1,GraphImage,Dibp6HABCuLPJKLpYWBK,insta_data-2020.02.26-000001,,_doc,"Photo by База отдыха ""Голубая бухта"" in Кучугуры. Image may contain: one or more people, people standing, ocean, outdoor and water",false,0,false,"1,169","1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/66708794_2353838584828494_838897415120034524_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=g2Qdlz0Fh6YAX_VlZmK&oh=029afd9732603bd6e04275bfc4259e9f&oe=5E9C15CC,56,56,1,,,,2095617629143632171,"Сашка стоит на охране от злодеев - медуз,  можно смело купаться!",false,false,"{""slug"":"""",""id"":""825339471178259"",""has_public_page"":true,""name"":""Кучугуры""}",True,825339471178259,Кучугуры,,,6950883765,bluebay_kuch,B0VISFyJwkr,"1,564,037,110",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.44.1080.1080a/s640x640/66708794_2353838584828494_838897415120034524_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=g2Qdlz0Fh6YAX_VlZmK&oh=3b66659d5e1059a299227ee5ed30d9d2&oe=5E9F62FB,false
"Mar 17, 2020 @ 14:32:53.266",1,GraphSidecar,DSbp6HABCuLPJKLpX2B4,insta_data-2020.02.26-000001,,_doc,"Photo by АЛЬБОМЫ🌱МАМИНЫ СОКРОВИЩА🌱 on July 24, 2019.",false,0,false,"1,350","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/66647948_396098191033935_8721753384403988960_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=FW3XnKLk350AX8yDXt8&oh=d5e0656c4172ded2d025eed5eccb9c8a&oe=5E9D4C5E,37,37,1,,,,2095618049511763805,Один день катания на корабле викингов😈Все фото даже не помещаются в карусель🙈#отдыхсдетьми#нашотдых#турция2019,false,false,"{""slug"":""alanya"",""id"":""582497147"",""has_public_page"":true,""name"":""Alanya""}",True,582497147,Alanya,alanya,,584105323,tusya_bo,B0VIYNSC69d,"1,564,037,160",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c0.180.1440.1440a/s640x640/66647948_396098191033935_8721753384403988960_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=103&_nc_ohc=FW3XnKLk350AX8yDXt8&oh=b157d0d238aa1ad3addafdf904d05d3c&oe=5EA14DCD,false
"Mar 17, 2020 @ 14:32:52.695",1,GraphSidecar,Cybp6HABCuLPJKLpXWA9,insta_data-2020.02.26-000001,,_doc,"Photo by Детская анимация on July 24, 2019.",false,0,false,"1,080","1,080",https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/e35/65026007_328209651391378_6370973626733561742_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=wL8isuaPkvYAX-5lMPX&oh=76ff604b94ceb0ef27ca308184e83a4e&oe=5EA05B99,47,47,0,,,,2095618467341312707,"Эбру-особенная техника рисования.
Рисование водой для детей— это захватывающий процесс создания неповторимых узоров. При этом хороший способ воспитания творческих навыков, улучшения цветовосприятия, развития мелкой моторики рук при минимальном напряжении малышей💛

Творческие мастер-классы проходят ежедневно в 16:00😍😘 ____________________________________________________

п. Архипо-Осиповка, ул. Кирпичная 15, ГРК ""Альбатрос""
🔹🔹🔹🔹🔹🔹🔹🔹🔹
⠀
#гркальбатрос #альбатросархипоосиповка #архипоосиповка #архипка #геленджик #черноеморе #отдыхсдетьми
#пшада #джубга #текос #тешебс #дети",false,false,"{""slug"":""arkhipoosipovka-krasnodarskiy-kray-russia"",""id"":""650314978"",""has_public_page"":true,""name"":""Arkhipoosipovka, Krasnodarskiy Kray, Russia""}",True,650314978,"Arkhipoosipovka, Krasnodarskiy Kray, Russia",arkhipoosipovka-krasnodarskiy-kray-russia,,5447859393,grk.albatros_kids,B0VIeSaoKLD,"1,564,037,210",,https://scontent-frx5-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/65026007_328209651391378_6370973626733561742_n.jpg?_nc_ht=scontent-frx5-1.cdninstagram.com&_nc_cat=110&_nc_ohc=wL8isuaPkvYAX-5lMPX&oh=65114bb48feba3f28d37432a553b91c7&oe=5E9F347C,false
"Mar 17, 2020 @ 14:32:52.207",1,GraphImage,Cibp6HABCuLPJKLpW2BV,insta_data-2020.02.26-000001,,_doc,Photo by International Hotel Kaike in Itsukushima Shrine. Image may contain: outdoor,false,0,false,848,"1,080",https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/e35/67247007_118837232483802_6160820387510522793_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=sdIYoyckkcYAX_ozvTF&oh=8417d1995801cc3dfc063b4843ba1f84&oe=5EA31BE8,51,51,1,,,,2095619381161065028,"Святилище Итсукусима и знаменитые Тории в воде. В июне 2019 года начались реставрационные работы.
📷@esspeshal
-----------------------------
International Hotel Kaike ⠀
4-7-5, Kaike Onsen, Yonago-shi, Tottori-ken Japan, 683-0001⠀
Whatsapp: +81-90-6407-1086⠀
Email: krh@frigatejapan.co.jp⠀
http://www.krh.frigatejapan.co.jp⠀
Instagram: @kaikerest, @frigateaerotours⠀
#турывяпонию #япониятур#путешествие #пропутешествия #токио #окинава #киото #тоттори #фудзи #отдыхсдетьми #frigateaerotours #истукусима",false,false,"{""slug"":""itsukushima-shrine"",""id"":""214849746"",""has_public_page"":true,""name"":""Itsukushima Shrine""}",True,214849746,Itsukushima Shrine,itsukushima-shrine,,7934239240,kaikerest,B0VIrleh3pE,"1,564,037,319",,https://scontent-frt3-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/c116.0.848.848a/s640x640/67247007_118837232483802_6160820387510522793_n.jpg?_nc_ht=scontent-frt3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=sdIYoyckkcYAX_ozvTF&oh=b947bd07acf719b0fb98401d9a0dc335&oe=5E9D8A81,false
"Mar 17, 2020 @ 14:32:51.274",1,GraphSidecar,CCbp6HABCuLPJKLpV2Cw,insta_data-2020.02.26-000001,,_doc,"Photo by Еленка Година on July 24, 2019. Image may contain: one or more people and people standing",false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/66242790_125683568698305_314736625864427055_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=dYEt8tI_EvsAX9ZSpoP&oh=e9d7b9fb9bf1a66f95706c74f054ab20&oe=5EA356DA,36,36,1,,,,2095619679360967137,"Музей индейцев и шоколада 🍫 на территории Эко-парка Лукоморье хотя бы раз посетить стоит 😉
После экскурсии будет возможность примерить костюмы и пострелять из лука 🏹

#лукоморьесевастополь #годинынаотдыхе #годины #отдыхсдетьми #музейшоколада #мыиндейцы",false,false,"{""slug"":"""",""id"":""249174568"",""has_public_page"":true,""name"":""Парк Лукоморье, Севастополь""}",True,249174568,"Парк Лукоморье, Севастополь",,,7566131782,elena.godina.squirrel,B0VIv7MoOHh,"1,564,037,354",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/66242790_125683568698305_314736625864427055_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=dYEt8tI_EvsAX9ZSpoP&oh=fb05cd958e591c9c21610ba4e1118209&oe=5EA716A9,false
"Mar 17, 2020 @ 14:32:50.288",1,GraphImage,Bibp6HABCuLPJKLpU2DV,insta_data-2020.02.26-000001,,_doc,"Photo by 🌍ТУРАГЕНТСТВО НИЖНИЙ НОВГОРОД in Polis, Paphos, Cyprus. Image may contain: sky, outdoor and nature",false,0,false,"1,080","1,080",https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/66605970_2341647622579657_7802204309239274037_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=3Vce0yaN3lwAX9X7Xzt&oh=278c7e4fb09048b9804a13d61b2365ac&oe=5EA1D5F5,10,10,0,,,,2095620766707347038,"The Marion 3*⁣⁣
Пафос⁣⁣
------------⁣⁣
✈ 8 августа на 7 ночей⁣⁣
без питания⁣⁣
------------⁣⁣
От 18 345 ₽ за одного⁣⁣
ID тура 20383⁣⁣
+79036027670⁣⁣
⁣⁣
⁣⁣
⁣⁣
#турыкипр #турыпафос #путешествие #отдых #туры #кудапоехать #гдехорошо #гдекрасиво #горящиетуры #поравотпуск #поехали #моресолнце #морепляж #семейныйотдых #отдыхсдетьми #экскурсионныетуры #атлантиктрэвел",false,false,"{""slug"":""polis-paphos-cyprus"",""id"":""223428916"",""has_public_page"":true,""name"":""Polis, Paphos, Cyprus""}",True,223428916,"Polis, Paphos, Cyprus",polis-paphos-cyprus,,1565952829,atlantic.travel.nn,B0VI_v3he5e,"1,564,037,484",,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/66605970_2341647622579657_7802204309239274037_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=3Vce0yaN3lwAX9X7Xzt&oh=3337a269063ae5354d8903e660d9ce7a&oe=5E9FEA4F,false
